method	cutoff	reference	key	weighted_f1_mean	weighted_f1_std	weighted_f1_count
scvi	0.0	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	class	0.4111985841022292	0.2567617102874455	279
scvi	0.0	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	family	0.530961737902222	0.24982582613664012	279
scvi	0.0	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	global	0.5317014036981004	0.2541341134856791	279
scvi	0.0	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	subclass	0.36353662924820357	0.2570012033385129	279
scvi	0.0	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	class	0.8014326921875927	0.22360131902987157	279
scvi	0.0	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	family	0.8878632333414226	0.1418819374086593	279
scvi	0.0	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	global	0.9142977623460703	0.0877773800866169	279
scvi	0.0	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	subclass	0.6763163473021736	0.2182394054738282	279
scvi	0.0	Single-cell RNA-seq for all cortical  hippocampal regions 10x	class	0.8431650806416662	0.17131834182663497	279
scvi	0.0	Single-cell RNA-seq for all cortical  hippocampal regions 10x	family	0.9008108134936819	0.154701850746786	279
scvi	0.0	Single-cell RNA-seq for all cortical  hippocampal regions 10x	global	0.9391129151977345	0.08417497800411486	279
scvi	0.0	Single-cell RNA-seq for all cortical  hippocampal regions 10x	subclass	0.6322093967894578	0.2058768893107586	279
scvi	0.0	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	class	0.7566575045250227	0.14875461562831024	279
scvi	0.0	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	family	0.8392145227912264	0.13370753101950283	279
scvi	0.0	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	global	0.8513672829132534	0.09520704705752354	279
scvi	0.0	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	subclass	0.5382566912656928	0.21971090948366975	279
scvi	0.0	whole cortex	class	0.8451700203537185	0.16130569149983384	279
scvi	0.0	whole cortex	family	0.8899311511256914	0.15017756575697655	279
scvi	0.0	whole cortex	global	0.9219753589075796	0.09264810563968232	279
scvi	0.0	whole cortex	subclass	0.7483170968260127	0.19709526718569642	279
scvi	0.05	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	class	0.4111985841022292	0.25676171028744543	279
scvi	0.05	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	family	0.530961737902222	0.2498258261366403	279
scvi	0.05	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	global	0.5317014036981004	0.2541341134856791	279
scvi	0.05	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	subclass	0.36353662924820357	0.2570012033385129	279
scvi	0.05	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	class	0.8014326921875927	0.22360131902987163	279
scvi	0.05	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	family	0.8878632333414226	0.14188193740865937	279
scvi	0.05	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	global	0.9142977623460703	0.08777738008661695	279
scvi	0.05	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	subclass	0.6763163473021736	0.21823940547382817	279
