study	query	query_region	count
UCLA-ASD	UCLA-ASD 1203467	prefrontal cortex	7656
UCLA-ASD	UCLA-ASD 1203495	prefrontal cortex	7656
UCLA-ASD	UCLA-ASD 1203498	prefrontal cortex	7656
CMC	CMC 1203082	prefrontal cortex	7590
UCLA-ASD	UCLA-ASD 1203463	prefrontal cortex	7392
CMC	CMC 1203093	prefrontal cortex	7392
DevBrain	DevBrain 1203399	prefrontal cortex	7392
DevBrain	DevBrain 1203405	prefrontal cortex	7392
DevBrain	DevBrain 1203407	prefrontal cortex	7392
MultiomeBrain	MultiomeBrain 1203384	prefrontal cortex	7364
UCLA-ASD	UCLA-ASD 1203470	prefrontal cortex	7337
UCLA-ASD	UCLA-ASD 1203466	prefrontal cortex	7128
pineda	pineda 201025 FTLD 239 snRNA-C11	primary motor cortex	7128
pineda	pineda 201025 FTLD 238 snRNA-C10	primary motor cortex	7128
MultiomeBrain	MultiomeBrain 1203377	prefrontal cortex	7128
CMC	CMC 1203069	prefrontal cortex	7128
CMC	CMC 1203067	prefrontal cortex	7128
DevBrain	DevBrain 1203410	prefrontal cortex	7128
UCLA-ASD	UCLA-ASD 1203489	prefrontal cortex	7128
CMC	CMC 1203023	prefrontal cortex	7128
PTSDBrainomics	PTSDBrainomics 1203519	prefrontal cortex	7128
CMC	CMC 1203020	prefrontal cortex	7128
pineda	pineda 201019 ALS 103 snRNA-B3	primary motor cortex	6864
CMC	CMC 1203058	prefrontal cortex	6864
PTSDBrainomics	PTSDBrainomics 1203516	prefrontal cortex	6864
UCLA-ASD	UCLA-ASD 1203475	prefrontal cortex	6864
DevBrain	DevBrain 1203408	prefrontal cortex	6864
UCLA-ASD	UCLA-ASD 1203502	prefrontal cortex	6864
CMC	CMC 1203034	prefrontal cortex	6864
MultiomeBrain	MultiomeBrain 1203383	prefrontal cortex	6864
MultiomeBrain	MultiomeBrain 1203374	prefrontal cortex	6864
UCLA-ASD	UCLA-ASD 1203456	prefrontal cortex	6864
UCLA-ASD	UCLA-ASD 1203461	prefrontal cortex	6864
UCLA-ASD	UCLA-ASD 1203484	prefrontal cortex	6864
MultiomeBrain	MultiomeBrain 1203394	prefrontal cortex	6831
UCLA-ASD	UCLA-ASD 1203494	prefrontal cortex	6831
pineda	pineda 191113 FTLD 226 snRNA-E4	primary motor cortex	6600
pineda	pineda 191112 ALS 110 snRNA-B9	primary motor cortex	6600
pineda	pineda 200721 FTLD 210 snRNA-A11	primary motor cortex	6600
pineda	pineda 191112 ALS 111 snRNA-B10	primary motor cortex	6600
pineda	pineda 191112 ALS 118 snRNA-C4	primary motor cortex	6600
UCLA-ASD	UCLA-ASD 1203493	prefrontal cortex	6600
DevBrain	DevBrain 1203409	prefrontal cortex	6600
UCLA-ASD	UCLA-ASD 1203480	prefrontal cortex	6600
CMC	CMC 1203059	prefrontal cortex	6600
UCLA-ASD	UCLA-ASD 1203478	prefrontal cortex	6600
UCLA-ASD	UCLA-ASD 1203462	prefrontal cortex	6600
MultiomeBrain	MultiomeBrain 1203378	prefrontal cortex	6600
PTSDBrainomics	PTSDBrainomics 1203511	prefrontal cortex	6600
CMC	CMC 1203043	prefrontal cortex	6600
UCLA-ASD	UCLA-ASD 1203504	prefrontal cortex	6578
MultiomeBrain	MultiomeBrain 1203379	prefrontal cortex	6578
UCLA-ASD	UCLA-ASD 1203474	prefrontal cortex	6578
pineda	pineda 191113 FTLD 207 snRNA-D5	primary motor cortex	6550
pineda	pineda 191112 ALS 120 snRNA-A1	primary motor cortex	6350
CMC	CMC 1203033	prefrontal cortex	6336
pineda	pineda 191113 FTLD 204 snRNA-D4	primary motor cortex	6336
pineda	pineda 191113 FTLD 217 snRNA-D11	primary motor cortex	6336
UCLA-ASD	UCLA-ASD 1203483	prefrontal cortex	6336
MultiomeBrain	MultiomeBrain 1203392	prefrontal cortex	6336
pineda	pineda 191113 FTLD 202 snRNA-D3	primary motor cortex	6336
CMC	CMC 1203022	prefrontal cortex	6336
CMC	CMC 1203018	prefrontal cortex	6336
PTSDBrainomics	PTSDBrainomics 1203518	prefrontal cortex	6336
DevBrain	DevBrain 1203404	prefrontal cortex	6336
DevBrain	DevBrain 1203401	prefrontal cortex	6336
CMC	CMC 1203014	prefrontal cortex	6336
PTSDBrainomics	PTSDBrainomics 1203523	prefrontal cortex	6336
UCLA-ASD	UCLA-ASD 1203465	prefrontal cortex	6336
CMC	CMC 1203087	prefrontal cortex	6336
DevBrain	DevBrain 1203395	prefrontal cortex	6336
UCLA-ASD	UCLA-ASD 1203479	prefrontal cortex	6336
CMC	CMC 1203068	prefrontal cortex	6336
UCLA-ASD	UCLA-ASD 1203476	prefrontal cortex	6336
CMC	CMC 1203012	prefrontal cortex	6336
UCLA-ASD	UCLA-ASD 1203472	prefrontal cortex	6336
CMC	CMC 1203074	prefrontal cortex	6336
UCLA-ASD	UCLA-ASD 1203471	prefrontal cortex	6336
