	sum_sq	df	F	PR(>F)	FDR	Rsquared
study	346.4048248052229	6.0	1956.8293502113204	0.0	0.0	0.6185335890800605
reference	40.70214821649785	4.0	344.8876251571199	1.4842817242613295e-275	1.855352155326662e-275	0.6185335890800605
method	136.8883177117302	1.0	4639.665361762484	0.0	0.0	0.6185335890800605
strain	321.3850514674941	4.0	2723.2402224090765	0.0	0.0	0.6185335890800605
age	270.1455054560125	3.0	3052.0859760035723	0.0	0.0	0.6185335890800605
treatment	10.213677310967626	4.0	86.54508585551697	3.482333927681416e-72	3.869259919646018e-72	0.6185335890800605
sex	194.15536251696162	2.0	3290.3315831793316	0.0	0.0	0.6185335890800605
genotype	260.3101291166529	4.0	2205.7249105833666	0.0	0.0	0.6185335890800605
subsample_ref	0.0019105268068923297	1.0	0.06475501486784242	0.7991385821186515	0.7991385821186515	0.6185335890800605
cutoff	176.74201411421262	1.0	5990.458605684065	0.0	0.0	0.6185335890800605
Residual	250.78332375844124	8500.0				0.6185335890800605
