"reference"	"method"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"seurat"	0.034582569268938	0.0154509264920872	Inf	0.0142554393808756	0.081498202745819
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"seurat"	0.893782169233078	0.0439080487206152	Inf	0.772675365945631	0.954194366187555
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"seurat"	0.898652855844084	0.0421213291768902	Inf	0.781749216935293	0.956428427564025
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"seurat"	0.792277122105728	0.0761181541625379	Inf	0.60639687373253	0.904237523133717
"whole cortex"	"seurat"	0.873604824339069	0.0510712853101005	Inf	0.736273817577764	0.944785844416035
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"scvi"	0.0634168307122399	0.0274674501510022	Inf	0.0266254878609677	0.143549315742151
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi"	0.876658670307154	0.0500435567661444	Inf	0.741553408701523	0.946255241880711
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi"	0.845662960705457	0.0603984548792086	Inf	0.688686103588561	0.931373418986683
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi"	0.454353707784178	0.114661386863395	Inf	0.25169762833686	0.673352801957573
"whole cortex"	"scvi"	0.837548736946544	0.0629566687684441	Inf	0.675508667523213	0.927371421849524
