ref_type	query_type	response	SE	df	asymp.LCL	asymp.UCL	key
cell_only	single-cell	0.6027253664090121	0.002837068146889002	Inf	0.5971517695011209	0.6082724358033668	subclass
cell_and_nucleus	single-cell	0.6682960477568778	0.002692549004635247	Inf	0.6629977713174324	0.6735520404227542	subclass
cell_only	single-nucleus	0.6578165556877067	0.00682364350650235	Inf	0.6443198752075048	0.6710625500437918	subclass
cell_and_nucleus	single-nucleus	0.6584741608916602	0.006810371047575917	Inf	0.6450033238782141	0.6716940131545125	subclass
cell_only	single-cell	0.5751531790503479	0.0030129506365607047	Inf	0.5692374478889356	0.5810474615189904	class
cell_and_nucleus	single-cell	0.6454448128298176	0.002883280392370066	Inf	0.6397736064781419	0.6510754294032699	class
cell_only	single-nucleus	0.6723788607239815	0.006993280171947811	Inf	0.6585281932193167	0.685935657834869	class
cell_and_nucleus	single-nucleus	0.6936714453281705	0.006777083768997783	Inf	0.6802302572437042	0.7067911807514907	class
cell_only	single-cell	0.7017274363721853	0.002623696855285639	Inf	0.6965597330257952	0.7068441710052913	family
cell_and_nucleus	single-cell	0.7459315524369032	0.002420306544977161	Inf	0.7411587073879431	0.7506459988670796	family
cell_only	single-nucleus	0.8083521538455077	0.0052271812442465215	Inf	0.7978976901695486	0.8183889143630315	family
cell_and_nucleus	single-nucleus	0.8388323199406922	0.00454719854710301	Inf	0.8297197270411183	0.8475468534896266	family
cell_only	single-cell	0.7057514304902321	0.003723014791041185	Inf	0.6984020782154995	0.7129952892482126	global
cell_and_nucleus	single-cell	0.7484695496632917	0.0033073236624714107	Inf	0.7419320300814832	0.7548961686142052	global
cell_only	single-nucleus	0.8924698741764159	0.004699409363798458	Inf	0.8829062993614771	0.9013396324547517	global
cell_and_nucleus	single-nucleus	0.8879142535237377	0.004243274702638313	Inf	0.8793241260175515	0.8959652508896689	global
