"subsample_ref"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"	"key"
"500"	0.812572428340388	0.0465080504904111	Inf	0.704389718933095	0.88748802029809	"class"
"100"	0.810918548517065	0.0468207451797971	Inf	0.702137046223511	0.886399954012981	"class"
"50"	0.798025425801434	0.0492176940822086	Inf	0.68471160657954	0.877878022505851	"class"
"500"	0.878979933230566	0.0212147433061557	Inf	0.830886094276093	0.914798997205114	"family"
"100"	0.881647401871502	0.0208087820046411	Inf	0.83441734576487	0.916749843870549	"family"
"50"	0.870403490701791	0.0224943068068711	Inf	0.819606540102173	0.908493525552479	"family"
"500"	0.948529892214331	0.0174080088642566	Inf	0.901592944843597	0.973731716386683	"global"
"100"	0.946559544011073	0.0180349785074672	Inf	0.8980256677662	0.972696417829982	"global"
"50"	0.93681091814235	0.0211041161802247	Inf	0.880544949272058	0.967551016995294	"global"
"500"	0.794699651907415	0.0442617496637982	Inf	0.694611730627087	0.868208573545646	"subclass"
"100"	0.796388567812328	0.0439893427021565	Inf	0.696813921875758	0.869389984818007	"subclass"
"50"	0.783935529531635	0.0459495640777579	Inf	0.6807131368693	0.860619979186285	"subclass"
