	sum_sq	df	F	PR(>F)	FDR	Rsquared
study	2084.598902054605	5.0	10461.48496249512	0.0	0.0	0.6704721179133185
reference	180.50101113780497	18.0	251.62162848905479	0.0	0.0	0.6704721179133185
method	7.7461919414363765	1.0	194.36993474396166	3.699070319927263e-44	6.658326575869074e-44	0.6704721179133185
ref_split	2.599220223284446e-27	1.0	6.522046819966897e-26	1.0	1.0	0.6704721179133185
region_match	6.777471912773436	1.0	170.06250082289233	7.421961070300145e-39	1.1132941605450217e-38	0.6704721179133185
sex	0.1615251331304766	1.0	4.053040490532792	0.04409312663189136	0.05669116281243176	0.6704721179133185
disease_state	8.573056893846703	1.0	215.11789555582118	1.1099219888526782e-48	2.4973244749185257e-48	0.6704721179133185
label	15746.28557796113	11.0	35919.16839311276	0.0	0.0	0.6704721179133185
subsample_ref	6.589467086505602e-05	1.0	0.0016534502337210084	0.9675648848424127	1.0	0.6704721179133185
Residual	8434.413061120726	211639.0				0.6704721179133185
