	sum_sq	df	F	PR(>F)	FDR	Rsquared
study	5512.261907868343	5.0	77810.88597797861	0.0	0.0	0.4539519974867282
reference	1865.0181834583893	18.0	7312.9244323052535	0.0	0.0	0.4539519974867282
method	335.8357495641809	1.0	23703.22533057295	0.0	0.0	0.4539519974867282
ref_split	2.0148790462136698e-26	1.0	1.4220979186471444e-24	1.0	1.0	0.4539519974867282
region_match	73.25942990386505	1.0	5170.637065452651	0.0	0.0	0.4539519974867282
sex	24.12872127586667	1.0	1703.0007022261852	0.0	0.0	0.4539519974867282
disease_state	4.564220190249315	1.0	322.14182012553937	5.063256394683994e-72	5.696163444019493e-72	0.4539519974867282
subsample_ref	277.3319180276154	1.0	19574.035679344124	0.0	0.0	0.4539519974867282
cutoff	5027.5658450456285	1.0	354844.6710752415	0.0	0.0	0.4539519974867282
Residual	15966.066046389626	1126882.0				0.4539519974867282
