	sum_sq	df	F	PR(>F)	FDR	Rsquared
study	3943.048920549795	5.0	24013.069994874506	0.0	0.0	0.415071869565382
reference	479.80844597703754	18.0	811.6726442415061	0.0	0.0	0.415071869565382
method	236.8462506352052	1.0	7211.938919760797	0.0	0.0	0.415071869565382
ref_split	1.9771612683556696e-25	1.0	6.020431509325472e-24	1.0	1.0	0.415071869565382
region_match	7.231241762050105	1.0	220.1904136631367	8.471445628872584e-50	1.2102065184103692e-49	0.415071869565382
sex	1.1237230416697248	1.0	34.217227072478074	4.932836160179009e-09	5.480929066865566e-09	0.415071869565382
disease_state	6.968347072872826	1.0	212.18530302452137	4.712838277614076e-48	5.891047847017595e-48	0.415071869565382
label	1723.369646165627	2.0	26238.19585698106	0.0	0.0	0.415071869565382
subsample_ref	148.32040436331204	1.0	4516.337894113281	0.0	0.0	0.415071869565382
cutoff	2743.2441030222444	1.0	83531.44227502361	0.0	0.0	0.415071869565382
Residual	13303.40400806467	405087.0				0.415071869565382
