	sum_sq	df	F	PR(>F)	FDR	Rsquared
study	785.7872231352222	5.0	11378.359033540237	0.0	0.0	0.4242170641435902
reference	33.830397759355954	18.0	136.075291624102	0.0	0.0	0.4242170641435902
method	9.974060816005244	1.0	722.1321602434817	1.6639061528223075e-158	3.743788843850192e-158	0.4242170641435902
ref_split	2.0193020652826562e-25	1.0	1.461995258988926e-23	1.0	1.0	0.4242170641435902
region_match	0.7837440166258319	1.0	56.74386493570561	5.005375276857237e-14	6.435482498816448e-14	0.4242170641435902
sex	1.1856781481353935	1.0	85.8443053698393	1.983314948327565e-20	2.9749724224913473e-20	0.4242170641435902
disease_state	4.005442113801426	1.0	289.9980880132745	6.1320378946708015e-65	1.1037668210407442e-64	0.4242170641435902
label	156.69052736059714	2.0	5672.276873980257	0.0	0.0	0.4242170641435902
subsample_ref	0.09148254688173767	1.0	6.623429556221996	0.01006599362844979	0.011324242832006013	0.4242170641435902
Residual	1398.4333687041524	101248.0				0.4242170641435902
