	sum_sq	df	F	PR(>F)	FDR	Rsquared
study	8839.195421818962	5.0	31313.20880338495	0.0	0.0	0.597503183837544
reference	1263.943376408642	18.0	1243.7696523651175	0.0	0.0	0.597503183837544
method	396.4023537870998	1.0	7021.357194823968	0.0	0.0	0.597503183837544
ref_split	9.43275773344369e-25	1.0	1.670796370051767e-23	1.0	1.0	0.597503183837544
region_match	31.99825022806532	1.0	566.7755055290885	3.1049500658401076e-125	3.8811875823001344e-125	0.597503183837544
sex	0.23469297310735024	1.0	4.157046948785167	0.0414619409675094	0.04606882329723267	0.597503183837544
disease_state	37.253185681374624	1.0	659.8546169443689	1.827785720978999e-145	2.6111224585414273e-145	0.597503183837544
label	59071.0276300005	11.0	95118.8703032476	0.0	0.0	0.597503183837544
subsample_ref	170.65528722005885	1.0	3022.766432413412	0.0	0.0	0.597503183837544
cutoff	4699.341121597567	1.0	83238.0339819642	0.0	0.0	0.597503183837544
Residual	47800.60931057198	846678.0				0.597503183837544
