	sum_sq	df	F	PR(>F)	FDR	Rsquared
study	2935.145712517406	5.0	38004.019103215265	0.0	0.0	0.49288975449678296
reference	831.0729787852696	18.0	2989.0730076331483	0.0	0.0	0.49288975449678296
method	364.1608999240137	1.0	23575.62307441015	0.0	0.0	0.49288975449678296
ref_split	3.2528357939401685e-27	1.0	2.1058721740001423e-25	1.0	1.0	0.49288975449678296
region_match	11.990942023855716	1.0	776.2885293849902	1.045629237292994e-170	1.568443855939491e-170	0.49288975449678296
sex	0.9403407768613117	1.0	60.87726530060242	6.086342788308381e-15	6.847135636846929e-15	0.49288975449678296
disease_state	3.3950988666213635	1.0	219.79726872523645	1.0262584236550728e-49	1.319475116127951e-49	0.49288975449678296
subsample_ref	201.28582662747417	1.0	13031.159522564314	0.0	0.0	0.49288975449678296
cutoff	3011.466355273764	1.0	194961.06173951228	0.0	0.0	0.49288975449678296
Residual	7672.864319874631	496738.0				0.49288975449678296
