	sum_sq	df	F	PR(>F)	FDR	Rsquared
study	11594.998114275902	5.0	163232.14767364343	0.0	0.0	0.4476701482704962
reference	3184.2481789436097	18.0	12452.00885215478	0.0	0.0	0.4476701482704962
method	376.03279526096287	1.0	26468.58592007783	0.0	0.0	0.4476701482704962
ref_split	9.701016891278216e-25	1.0	6.828452260945125e-23	1.0	1.0	0.4476701482704962
region_match	101.49559727516692	1.0	7144.17723891079	0.0	0.0	0.4476701482704962
sex	60.90141498492612	1.0	4286.791884904982	0.0	0.0	0.4476701482704962
disease_state	33.63959755638565	1.0	2367.858839599643	0.0	0.0	0.4476701482704962
subsample_ref	447.61934080273227	1.0	31507.49384319905	0.0	0.0	0.4476701482704962
cutoff	7183.839692899677	1.0	505663.54994548066	0.0	0.0	0.4476701482704962
Residual	28671.86593176017	2018185.0				0.4476701482704962
