	sum_sq	df	F	PR(>F)	FDR	Rsquared
study	2015.6933494884133	5.0	10495.873675049588	0.0	0.0	0.6784853377870356
reference	182.00474454615406	18.0	263.2536132736411	0.0	0.0	0.6784853377870356
method	11.217852561956333	1.0	292.0611992531205	1.8735924157604436e-65	4.215582935460998e-65	0.6784853377870356
ref_split	9.077722559458079e-27	1.0	2.3634207372218028e-25	1.0	1.0	0.6784853377870356
region_match	1.622445029776603	1.0	42.24099385347796	8.079281588516623e-11	1.4542706859329922e-10	0.6784853377870356
sex	0.0005436405989237876	1.0	0.014153896604313753	0.9052990693474652	1.0	0.6784853377870356
disease_state	0.9864868182048183	1.0	25.683571929746297	4.0243002216878885e-07	6.036450332531832e-07	0.6784853377870356
label	27282.594267958997	21.0	33824.43151654503	0.0	0.0	0.6784853377870356
subsample_ref	0.4044738265524043	1.0	10.530635003175014	0.0011742230536328242	0.001509715354670774	0.6784853377870356
Residual	14187.955642876155	369389.0				0.6784853377870356
