"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"	"key"
"Dissection Angular gyrus AnG seurat / Dissection Anterior cingulate cortex ACC seurat"	1.03312831075995	0.0111114789897432	Inf	1	3.03029795236362	0.215305947945995	"class"
"Dissection Angular gyrus AnG seurat / Dissection Dorsolateral prefrontal cortex DFC seurat"	2.22720392713346	0.0217544282766681	Inf	1	81.9799416852486	0	"class"
"Dissection Angular gyrus AnG seurat / Dissection Primary auditory cortexA1 seurat"	1.04848054332159	0.0112658036811764	Inf	1	4.40600444479908	0.00177552850386564	"class"
"Dissection Angular gyrus AnG seurat / Dissection Primary somatosensory cortex S1 seurat"	1.05240737061308	0.0112750868247653	Inf	1	4.76779092323931	0.000330944989242687	"class"
"Dissection Angular gyrus AnG seurat / Dissection Primary visual cortexV1 seurat"	0.966561193376946	0.0104495059823678	Inf	1	-3.14592783963632	0.161232485394977	"class"
"Dissection Angular gyrus AnG seurat / (Human Multiple Cortical Areas SMART-seq seurat)"	2.7917934948084	0.0268472609277305	Inf	1	106.762858658343	0	"class"
"Dissection Angular gyrus AnG seurat / whole cortex seurat"	0.989430386112856	0.0106445682369021	Inf	1	-0.987692261173711	0.999987112585947	"class"
"Dissection Angular gyrus AnG seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat)"	0.933762829652254	0.0101898915169064	Inf	1	-6.28008489333736	6.40571344856511e-08	"class"
"Dissection Angular gyrus AnG seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat)"	0.990773921578265	0.0106921984345115	Inf	1	-0.858886665937048	0.999998659129597	"class"
"Dissection Angular gyrus AnG seurat / Dissection Angular gyrus AnG scvi"	0.686192579123367	0.00753637009340416	Inf	1	-34.2894574144757	0	"class"
"Dissection Angular gyrus AnG seurat / Dissection Anterior cingulate cortex ACC scvi"	0.704450792877529	0.00769915360043182	Inf	1	-32.0548266989106	0	"class"
"Dissection Angular gyrus AnG seurat / Dissection Dorsolateral prefrontal cortex DFC scvi"	1.26922812737495	0.0130313860337889	Inf	1	23.2205027304829	0	"class"
"Dissection Angular gyrus AnG seurat / Dissection Primary auditory cortexA1 scvi"	0.714277043190393	0.00783768274091797	Inf	1	-30.6650668669447	0	"class"
"Dissection Angular gyrus AnG seurat / Dissection Primary somatosensory cortex S1 scvi"	0.687535884982215	0.00759056558851657	Inf	1	-33.9341388248707	0	"class"
"Dissection Angular gyrus AnG seurat / Dissection Primary visual cortexV1 scvi"	0.836515117746491	0.00899829203498003	Inf	1	-16.5950257026993	0	"class"
"Dissection Angular gyrus AnG seurat / (Human Multiple Cortical Areas SMART-seq scvi)"	1.81674393263868	0.0184767212702956	Inf	1	58.7051896889769	0	"class"
"Dissection Angular gyrus AnG seurat / whole cortex scvi"	0.599976673958241	0.00675028629105951	Inf	1	-45.4064866425076	0	"class"
"Dissection Angular gyrus AnG seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.58212346897205	0.00655898703920748	Inf	1	-48.0213056862234	0	"class"
"Dissection Angular gyrus AnG seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.597151098616058	0.00671564845075991	Inf	1	-45.8454923320671	0	"class"
"Dissection Anterior cingulate cortex ACC seurat / Dissection Dorsolateral prefrontal cortex DFC seurat"	2.15578636645353	0.0209869653231605	Inf	1	78.9051327117465	0	"class"
"Dissection Anterior cingulate cortex ACC seurat / Dissection Primary auditory cortexA1 seurat"	1.01485994759968	0.0108752541339859	Inf	1	1.37650243142221	0.998357443907826	"class"
"Dissection Anterior cingulate cortex ACC seurat / Dissection Primary somatosensory cortex S1 seurat"	1.01866085717751	0.0108841328472809	Inf	1	1.73039949006257	0.975181238779406	"class"
