"subsample_ref"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"	"key"
"500"	0.925029452920322	0.0427192449569723	Inf	0.786742700584943	0.976340776702778	"class"
"100"	0.929320205437006	0.0404611258831892	Inf	0.797212926434896	0.977765439768326	"class"
"50"	0.923263469649669	0.0436420004708997	Inf	0.782485474333188	0.975751751625426	"class"
"500"	0.957580767114753	0.0267362359262947	Inf	0.861373811099337	0.987953587960742	"family"
"100"	0.965335644500088	0.0220253980703514	Inf	0.884597069795997	0.990212614606631	"family"
"50"	0.962779493018741	0.0235868584788362	Inf	0.876847213204928	0.989470843286423	"family"
"500"	0.98038668970999	0.00667993843132059	Inf	0.96197907484126	0.989975233624232	"global"
"100"	0.98413935945379	0.00542247216177702	Inf	0.969143067279764	0.991908389925076	"global"
"50"	0.980542475218628	0.00662771229645023	Inf	0.962276268970611	0.990055407353542	"global"
"500"	0.904483137052947	0.050592705383427	Inf	0.750314301653248	0.96757403460818	"subclass"
"100"	0.909616342095814	0.04814547691563	Inf	0.761548511251333	0.969431237100093	"subclass"
"50"	0.904381965383497	0.0506405846681269	Inf	0.750095137012867	0.96753725951517	"subclass"
