"reference"	"method"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"	"key"
"Dissection Angular gyrus AnG"	"seurat"	0.904821624989115	0.0530513822273947	Inf	0.739737813694758	0.969509166685049	"class"
"Dissection Anterior cingulate cortex ACC"	"seurat"	0.901977600512852	0.054464838038243	Inf	0.733414451053375	0.968530817769296	"class"
"Dissection Dorsolateral prefrontal cortex DFC"	"seurat"	0.810188906824129	0.0947308245591765	Inf	0.56067272593589	0.934538062563081	"class"
"Dissection Primary auditory cortexA1"	"seurat"	0.900665683924532	0.0551134889523027	Inf	0.730520615564658	0.968078101970222	"class"
"Dissection Primary somatosensory cortex S1"	"seurat"	0.900330731746971	0.0552786941141231	Inf	0.729784369827674	0.967962328980226	"class"
"Dissection Primary visual cortexV1"	"seurat"	0.907710551133541	0.0516054407595286	Inf	0.746231844752111	0.970498713366939	"class"
"Human Multiple Cortical Areas SMART-seq"	"seurat"	0.772995053780722	0.108091966024495	Inf	0.504490171651601	0.919282681539041	"class"
"whole cortex"	"seurat"	0.905732790976081	0.0525964028127618	Inf	0.741778426694246	0.969821705572255	"class"
"Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD"	"seurat"	0.910562123890255	0.0501681657168433	Inf	0.752712982631369	0.971471307951543	"class"
"Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD"	"seurat"	0.905616868127773	0.0526543708286762	Inf	0.74151829699417	0.969781984502405	"class"
"Dissection Angular gyrus AnG"	"scvi"	0.932678570433119	0.0386791753953729	Inf	0.805528532295729	0.978875084850813	"class"
"Dissection Anterior cingulate cortex ACC"	"scvi"	0.93101086114606	0.0395664023826402	Inf	0.801382132615244	0.978325129914478	"class"
"Dissection Dorsolateral prefrontal cortex DFC"	"scvi"	0.882215130747559	0.0640098691961364	Inf	0.691306013451585	0.961613992504479	"class"
"Dissection Primary auditory cortexA1"	"scvi"	0.930115795467109	0.0400412588223354	Inf	0.799167790318759	0.97802946874533	"class"
"Dissection Primary somatosensory cortex S1"	"scvi"	0.93255566898842	0.0387447341017914	Inf	0.805221726433337	0.978834639416266	"class"
"Dissection Primary visual cortexV1"	"scvi"	0.919123392170875	0.045791569017625	Inf	0.772614870375532	0.974365714699153	"class"
"Human Multiple Cortical Areas SMART-seq"	"scvi"	0.839557482063676	0.08297573719266	Inf	0.610068461464151	0.945949910614142	"class"
"whole cortex"	"scvi"	0.940634955960157	0.0343991160200266	Inf	0.825702508413566	0.981480322294808	"class"
"Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD"	"scvi"	0.94229952415214	0.0334937659139027	Inf	0.830007233126912	0.982021507237536	"class"
