"reference"	"method"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"seurat"	0.87234219653813	0.0331524666122578	Inf	0.792217400164422	0.924513477044913
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"seurat"	0.855787321113386	0.0367477019421306	Inf	0.768015829724497	0.914066083099921
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"seurat"	0.93312477153541	0.0185827217363156	Inf	0.886155645129624	0.961556370977804
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"seurat"	0.935927816276466	0.0178594676533119	Inf	0.890689929777269	0.963217187412647
"whole cortex"	"seurat"	0.88561563130311	0.0301622772402386	Inf	0.812012273577129	0.932786261537916
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi"	0.835382621719996	0.0409363053552274	Inf	0.739009500714475	0.900939310010785
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"scvi"	0.689362338762903	0.0637770861512254	Inf	0.553151197907468	0.799130471895489
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi"	0.941944275110236	0.0162936214857594	Inf	0.900479718631325	0.966770381192939
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi"	0.938842050744228	0.0171000634410677	Inf	0.895432407894951	0.964936505268179
"whole cortex"	"scvi"	0.932203712734914	0.0188242782528479	Inf	0.884654305739923	0.961015431164638
