	sum_sq	df	F	PR(>F)	FDR	Rsquared
study	8819.456337783597	5.0	32981.8589199501	0.0	0.0	0.6185672435755871
reference	1478.555894013611	18.0	1535.9198784138557	0.0	0.0	0.6185672435755871
method	881.0468916751915	1.0	16474.12446422655	0.0	0.0	0.6185672435755871
ref_split	0.023900029997250143	1.0	0.4468911616325195	0.5038151833976707	0.5038151833976707	0.6185672435755871
region_match	24.23921261469794	1.0	453.23331743459363	1.5167378298324162e-100	1.8959222872905204e-100	0.6185672435755871
sex	0.2690471242959883	1.0	5.030737698837905	0.024901547424224454	0.02766838602691606	0.6185672435755871
disease_state	43.5581803965647	1.0	814.4661675428569	4.700133517327783e-179	6.714476453325404e-179	0.6185672435755871
label	61830.62980609631	11.0	105102.80447991776	0.0	0.0	0.6185672435755871
subsample_ref	67.58518605764037	1.0	1263.7315647689124	1.3799410723672765e-276	2.2999017872787942e-276	0.6185672435755871
cutoff	4092.5914954051996	1.0	76524.7143070294	0.0	0.0	0.6185672435755871
Residual	45280.89014803922	846678.0				0.6185672435755871
