	sum_sq	df	F	PR(>F)	FDR	Rsquared
study	4388.584446004332	5.0	29143.658920759168	0.0	0.0	0.42453647778882864
reference	491.04282931549756	18.0	905.8087021712877	0.0	0.0	0.42453647778882864
method	707.7420826204827	1.0	23499.82564256978	0.0	0.0	0.42453647778882864
ref_split	0.004647082494779149	1.0	0.15430144830388484	0.6944583775537452	0.6944583775537452	0.42453647778882864
region_match	7.066213130366043	1.0	234.62611676559567	6.044782968793108e-53	7.555978710991385e-53	0.42453647778882864
sex	1.5267980783433053	1.0	50.69571177628867	1.0803284686319018e-12	1.2003649651465577e-12	0.42453647778882864
disease_state	7.540663642707568	1.0	250.37974310751338	2.231423581305917e-56	3.187747973294167e-56	0.42453647778882864
label	1137.7669781483146	2.0	18889.17323480426	0.0	0.0	0.42453647778882864
subsample_ref	72.26927575039367	1.0	2399.6246954270023	0.0	0.0	0.42453647778882864
cutoff	2068.2376210461716	1.0	68673.63786258161	0.0	0.0	0.42453647778882864
Residual	12199.96783734146	405087.0				0.42453647778882864
