	sum_sq	df	F	PR(>F)	FDR	Rsquared
study	936.067997033211	5.0	13594.68160369025	0.0	0.0	0.4487632483443037
reference	35.81498585864421	18.0	144.48538725940864	0.0	0.0	0.4487632483443037
method	0.4516464102421761	1.0	32.796704748758806	1.0260660621634968e-08	1.1543243199339338e-08	0.4487632483443037
ref_split	0.0006491454330975278	1.0	0.04713827150068352	0.828120331564669	0.828120331564669	0.4487632483443037
region_match	1.5318972834681572	1.0	111.24008023088491	5.407671309406714e-26	9.733808356932085e-26	0.4487632483443037
sex	1.4348669940506507	1.0	104.19413968636421	1.8850904513218974e-24	2.827635676982846e-24	0.4487632483443037
disease_state	3.837686730838317	1.0	278.67702648637186	1.7685632751356815e-62	3.979267369055283e-62	0.4487632483443037
label	112.95539629188565	2.0	4101.1781539209005	0.0	0.0	0.4487632483443037
subsample_ref	0.8843192912794066	1.0	64.2156298423159	1.1269682620572319e-15	1.448959194073584e-15	0.4487632483443037
Residual	1394.2954359135863	101248.0				0.4487632483443037
