	sum_sq	df	F	PR(>F)	FDR	Rsquared
study	5680.344693175286	5.0	93017.0125912232	0.0	0.0	0.49015023844308103
reference	1950.579484834511	18.0	8872.55802935804	0.0	0.0	0.49015023844308103
method	1271.6289243047327	1.0	104116.14968148811	0.0	0.0	0.49015023844308103
ref_split	0.010052850644673523	1.0	0.8230892538235868	0.3642786835832543	0.3642786835832543	0.49015023844308103
region_match	42.91385829445128	1.0	3513.623831762216	0.0	0.0	0.49015023844308103
sex	17.69934293199176	1.0	1449.1550190074458	7.0296856e-317	9.038167e-317	0.49015023844308103
disease_state	2.2046245215350786	1.0	180.50628787098836	3.785343755587979e-41	4.258511725036476e-41	0.49015023844308103
subsample_ref	182.74075601606674	1.0	14962.119485194768	0.0	0.0	0.49015023844308103
cutoff	3855.678849024835	1.0	315688.3494045288	0.0	0.0	0.49015023844308103
Residual	13534.152060520584	1108125.0				0.49015023844308103
