	sum_sq	df	F	PR(>F)	FDR	Rsquared
study	2087.630178066313	5.0	11150.98160134775	0.0	0.0	0.6894856152602298
reference	236.25583374566708	18.0	350.5416070693484	0.0	0.0	0.6894856152602298
method	0.5251259019106449	1.0	14.02468054955168	0.00018045419100573028	0.0002320125312930818	0.6894856152602298
ref_split	0.003886399473858041	1.0	0.10379512972125182	0.747322187054977	0.8407374604368492	0.6894856152602298
region_match	1.6597634235526033	1.0	44.3277540080596	2.78136512008947e-11	5.006457216161046e-11	0.6894856152602298
sex	0.001489047275538199	1.0	0.03976839132600435	0.8419342188956251	0.8419342188956251	0.6894856152602298
disease_state	0.6737770864203576	1.0	17.99474823898729	2.2156909519122494e-05	3.3235364278683745e-05	0.6894856152602298
label	27793.182003145364	21.0	35346.67070918285	0.0	0.0	0.6894856152602298
subsample_ref	4.560603448919842	1.0	121.80127899150551	2.5777344597407253e-28	5.799902534416632e-28	0.6894856152602298
Residual	13831.026745708796	369389.0				0.6894856152602298
