	sum_sq	df	F	PR(>F)	FDR	Rsquared
study	8115.7180137328705	5.0	30848.344313425314	0.0	0.0	0.6175158815153723
reference	2572.947740126859	18.0	2716.6480338789065	0.0	0.0	0.6175158815153723
method	1108.8374896137325	1.0	21073.798158929276	0.0	0.0	0.6175158815153723
ref_split	0.024858864030842334	1.0	0.47245037072901513	0.49186214544942364	0.49186214544942364	0.6175158815153723
region_match	1.3923200216535607	1.0	26.461471030515376	2.688814363123821e-07	2.987571514582023e-07	0.6175158815153723
sex	2.484710834936699	1.0	47.22269503802692	6.338744176139704e-12	7.923430220174631e-12	0.6175158815153723
disease_state	6.65181946655347	1.0	126.41987860332567	2.4953262406085428e-29	3.5647517722979186e-29	0.6175158815153723
label	106634.73846251972	21.0	96506.00295734146	0.0	0.0	0.6175158815153723
subsample_ref	56.88462274200312	1.0	1081.1097832103505	5.135601877405232e-237	8.559336462342053e-237	0.6175158815153723
cutoff	4714.063933009265	1.0	89592.23760294406	0.0	0.0	0.6175158815153723
Residual	77752.3831605959	1477708.0				0.6175158815153723
