	sum_sq	df	F	PR(>F)	FDR	Rsquared
study	12366.072281425046	5.0	203550.3649774328	0.0	0.0	0.4932306329437076
reference	3357.298040541699	18.0	15350.675846022039	0.0	0.0	0.4932306329437076
method	1808.5891923651202	1.0	148850.4117645902	0.0	0.0	0.4932306329437076
ref_split	0.005922077028410364	1.0	0.48739846942673987	0.4850901702840177	0.4850901702840177	0.4932306329437076
region_match	47.77477185785492	1.0	3931.956738999148	0.0	0.0	0.4932306329437076
sex	50.138809830792454	1.0	4126.521666835916	0.0	0.0	0.4932306329437076
disease_state	26.014186027521653	1.0	2141.018158387578	0.0	0.0	0.4932306329437076
subsample_ref	242.37211420197045	1.0	19947.69688523842	0.0	0.0	0.4932306329437076
cutoff	5661.281124112957	1.0	465934.45874644676	0.0	0.0	0.4932306329437076
Residual	24238.187235218855	1994850.0				0.4932306329437076
