	sum_sq	df	F	PR(>F)	FDR	Rsquared
study	3001.876833006027	5.0	43200.022768207375	0.0	0.0	0.5122244415900024
reference	911.265376218376	18.0	3642.7844599373325	0.0	0.0	0.5122244415900024
method	916.6021820901318	1.0	65954.1302632831	0.0	0.0	0.5122244415900024
ref_split	0.0020944637266615764	1.0	0.15070718372605343	0.697860629692282	0.697860629692282	0.5122244415900024
region_match	7.0003717203767915	1.0	503.71190180271	1.6838290713084876e-111	2.5257436069627315e-111	0.5122244415900024
sex	0.1973838505065161	1.0	14.202759324104512	0.00016414872285658584	0.00018466731321365907	0.5122244415900024
disease_state	4.625355281844963	1.0	332.8175414956298	2.4752248568076053e-74	3.1824319587526358e-74	0.5122244415900024
subsample_ref	119.62946146682054	1.0	8607.940542883456	0.0	0.0	0.5122244415900024
cutoff	2204.086436604966	1.0	158595.08824198387	0.0	0.0	0.5122244415900024
Residual	6864.357561559814	493925.0				0.5122244415900024
